,BusID:ID,"kVA rating of
Winding 1 (kVA):double", %R1:double, %R2:double, %R3:double, %X12:double, %X13:double, %X23:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,PrevNode Val:double,PrevVal:double
96,T_3115,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3114,18.63,3.53,0,0,0,0,0,0,0
97,T_3116,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3113,17.55,4.75,0,0,0,0,0,0,0
98,T_3117,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3116,16.55,4.76,0,0,0,0,0,0,0
99,T_3120,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3119,22.77,4.69,0,0,0,0,0,0,0
100,T_3121,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3120,22.78,5.34,0,0,0,0,0,0,0
101,T_3122,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3121,22.78,5.96,0,0,0,0,0,0,0
102,T_3123,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3119,23.64,4.04,0,0,0,0,0,0,0
103,T_3124,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3123,24.42,4.04,0,0,0,0,0,0,0
104,T_3125,15.0,0.83,1.66,1.66,1.536,1.536,1.024,3124,25.17,4.04,0,0,0,0,0,0,0
105,T_3126,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3125,25.97,4.04,0,0,0,0,0,0,0
106,T_3127,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3126,25.97,4.58,0,0,0,0,0,0,0
107,T_3128,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3127,25.97,5.12,0,0,0,0,0,0,0
108,T_3129,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3128,25.97,5.66,0,0,0,0,0,0,0
109,T_3130,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3129,25.97,6.2,0,0,0,0,0,0,0
110,T_3131,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3130,25.97,6.75,0,0,0,0,0,0,0
111,T_3132,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3118,21.35,3.22,0,0,0,0,0,0,0
112,T_3134,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3133,22.53,2.41,0,0,0,0,0,0,0
113,T_3135,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3134,23.57,2.41,0,0,0,0,0,0,0
114,T_3136,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3135,24.53,2.41,0,0,0,0,0,0,0
115,T_3137,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3133,21.37,1.79,0,0,0,0,0,0,0
116,T_3138,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3137,21.37,1.16,0,0,0,0,0,0,0
117,T_3139,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3138,21.36,0.53,0,0,0,0,0,0,0
118,T_3141,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3140,18.42,2.48,0,0,0,0,0,0,0
119,T_3142,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3141,19.23,2.48,0,0,0,0,0,0,0
120,T_3143,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3142,20.03,2.49,0,0,0,0,0,0,0
121,T_3144,15.0,0.83,1.66,1.66,1.536,1.536,1.024,3156,18.31,1.11,0,0,0,0,0,0,0
122,T_3145,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3144,18.99,1.11,0,0,0,0,0,0,0
123,T_3146,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3145,19.67,1.11,0,0,0,0,0,0,0
124,T_3147,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3146,20.35,1.11,0,0,0,0,0,0,0
125,T_3148,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3140,16.87,2.48,0,0,0,0,0,0,0
126,T_3149,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3148,16.13,2.48,0,0,0,0,0,0,0
127,T_3150,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3149,15.4,2.48,0,0,0,0,0,0,0
128,T_3151,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3150,14.66,2.48,0,0,0,0,0,0,0
129,T_3152,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3151,13.92,2.48,0,0,0,0,0,0,0
130,T_3153,37.5,0.595,1.19,1.19,2.076,2.076,1.384,3152,13.18,2.48,0,0,0,0,0,0,0
131,T_3154,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3153,12.44,2.49,0,0,0,0,0,0,0
132,T_3155,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3154,11.7,2.49,0,0,0,0,0,0,0
133,T_3157,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3156,16.9,1.11,0,0,0,0,0,0,0
134,T_3158,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3157,16.17,1.11,0,0,0,0,0,0,0
135,T_3159,50.0,0.55,1.1,1.1,2.16,2.16,1.44,3158,15.43,1.11,0,0,0,0,0,0,0
136,T_3160,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3159,14.7,1.11,0,0,0,0,0,0,0
137,T_3161,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3160,13.97,1.11,0,0,0,0,0,0,0
138,T_3162,25.0,0.665,1.33,1.33,2.256,2.256,1.504,3161,13.23,1.11,0,0,0,0,0,0,0
