,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
124,13.8,0.208,75,1.0,2.1,2017,1,6,5,4.115,3.55,7.82,0
125,13.8,0.208,75,1.0,2.1,2017,1,6,6,8.96,4.271,4.115,2
126,13.8,0.208,75,1.0,2.1,2017,1,6,7,5.12,5.44,8.96,0
127,13.8,0.208,75,1.0,2.1,2017,1,6,8,15.1,6.204,5.12,0
128,13.8,0.208,75,1.0,2.1,2017,1,6,9,15.29,6.632,15.1,0
129,13.8,0.208,75,1.0,2.1,2017,1,6,10,15.745,7.4985,15.29,0
130,13.8,0.208,75,1.0,2.1,2017,1,6,11,0.0,6.85575,15.745,1
131,13.8,0.208,75,1.0,2.1,2017,1,6,12,17.50625,7.557,0.0,0
132,13.8,0.208,75,1.0,2.1,2017,1,6,13,0.0,6.368,17.50625,1
133,13.8,0.208,75,1.0,2.1,2017,1,6,14,17.5165625,11.09,0.0,0
134,13.8,0.208,75,1.0,2.1,2017,1,6,15,16.15828125,16.465,17.5165625,0
135,13.8,0.208,75,1.0,2.1,2017,1,6,16,16.159140625,10.608,16.15828125,0
136,13.8,0.208,75,1.0,2.1,2017,1,6,17,16.3995703125,8.779,16.159140625,0
137,13.8,0.208,75,1.0,2.1,2017,1,6,18,7.11978515625,5.379,16.3995703125,0
138,13.8,0.208,75,1.0,2.1,2017,1,6,19,3.799892578125,3.789,7.11978515625,0
139,13.8,0.208,75,1.0,2.1,2017,1,6,20,4.5199462890625,3.721,3.799892578125,0
140,13.8,0.208,75,1.0,2.1,2017,1,6,21,4.59997314453125,2.563,4.5199462890625,0
141,13.8,0.208,75,1.0,2.1,2017,1,6,22,0.0,3.029,4.59997314453125,1
142,13.8,0.208,75,1.0,2.1,2017,1,6,23,3.79999328613281,2.431,0.0,0
143,13.8,0.208,75,1.0,2.1,2017,1,7,0,4.43999664306641,2.368,3.79999328613281,0
144,13.8,0.208,75,1.0,2.1,2017,1,7,1,4.4399983215332,2.245,4.43999664306641,0
145,13.8,0.208,75,1.0,2.1,2017,1,7,2,4.0799991607666,4.049,4.4399983215332,0
146,13.8,0.208,75,1.0,2.1,2017,1,7,3,4.5599995803833,5.046,4.0799991607666,0
147,13.8,0.208,75,1.0,2.1,2017,1,7,4,4.71999979019165,4.994,4.5599995803833,0
148,13.8,0.208,75,1.0,2.1,2017,1,7,5,4.92,4.796,4.71999979019165,0
149,13.8,0.208,75,1.0,2.1,2017,1,7,6,5.4,4.947,4.92,0
150,13.8,0.208,75,1.0,2.1,2017,1,7,7,5.52,5.054,5.4,0
151,13.8,0.208,75,1.0,2.1,2017,1,7,8,9.44,5.438,5.52,0
152,13.8,0.208,75,1.0,2.1,2017,1,7,9,10.48,6.98,9.44,0
153,13.8,0.208,75,1.0,2.1,2017,1,7,10,11.52,4.999,10.48,0
154,13.8,0.208,75,1.0,2.1,2017,1,7,11,17.12,4.515,11.52,0
155,13.8,0.208,75,1.0,2.1,2017,1,7,12,18.52,7.829,17.12,0
156,13.8,0.208,75,1.0,2.1,2017,1,7,13,21.52,5.455,18.52,0
157,13.8,0.208,75,1.0,2.1,2017,1,7,14,21.88,4.443,21.52,0
158,13.8,0.208,75,1.0,2.1,2017,1,7,15,16.4,4.39,21.88,0
159,13.8,0.208,75,1.0,2.1,2017,1,7,16,17.68,4.195,16.4,2
160,13.8,0.208,75,1.0,2.1,2017,1,7,17,3.84,4.587,17.68,0
161,13.8,0.208,75,1.0,2.1,2017,1,7,18,0.0,4.956,3.84,1
162,13.8,0.208,75,1.0,2.1,2017,1,7,19,5.36,5.475,0.0,0
163,13.8,0.208,75,1.0,2.1,2017,1,7,20,5.36,6.186,5.36,0
164,13.8,0.208,75,1.0,2.1,2017,1,7,21,5.64,6.589,5.36,0
