,BusID:ID,"Voltage rating of Winding 1 (kV):double", %R1:double, %R2:double, %R3:double, %X12:double, %X13:double, %X23:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,"PrevNode Val:double",PrevVal:double
61,T_3061,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3060,25.09,15.2,2017,1,5,5,1.63,2.554,1.98625
62,T_3062,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3055,21.53,14.13,2017,1,5,5,1.83,0.0,1.906
63,T_3063,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3062,22.24,14.13,2017,1,5,5,7.028,1.83,7.452
64,T_3064,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3063,22.95,14.14,2017,1,5,5,7.643,7.028,6.886
65,T_3065,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3064,23.66,14.13,2017,1,5,5,3.971,7.643,3.335
66,T_3066,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3065,24.38,14.13,2017,1,5,5,2.414,3.971,2.388
67,T_3067,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3066,25.09,14.13,2017,1,5,5,6.87,2.414,6.842
68,T_3083,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3082,19.1,6.79,2017,1,5,5,3.753,0.0,3.918
69,T_3084,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3083,18.23,6.79,2017,1,5,5,2.408,3.753,2.006
70,T_3085,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3084,17.36,6.79,2017,1,5,5,13.295,2.408,8.955
71,T_3086,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3085,16.49,6.79,2017,1,5,5,2.736,13.295,2.238
72,T_3087,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3086,15.62,6.79,2017,1,5,5,3.256,2.736,3.136
73,T_3088,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3087,14.75,6.79,2017,1,5,5,6.358,3.256,6.856
74,T_3089,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3088,13.88,6.79,2017,1,5,5,0.955,6.358,1.065
75,T_3090,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3089,13.01,6.79,2017,1,5,5,10.15575,0.955,9.0915
76,T_3091,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3090,12.14,6.79,2017,1,5,5,2.991,10.15575,3.202
77,T_3093,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3092,22.07,7.3,2017,1,5,5,7.53,0.0,7.018
78,T_3094,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3093,22.04,7.81,2017,1,5,5,3.349,7.53,2.133
79,T_3095,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3094,22.05,8.32,2017,1,5,5,3.922,3.349,3.975
80,T_3096,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3095,22.05,8.83,2017,1,5,5,4.587,3.922,4.772
81,T_3097,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3096,22.05,9.34,2017,1,5,5,13.49,4.587,14.049
82,T_3098,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3092,22.05,6.13,2017,1,5,5,9.118,0.0,8.642
83,T_3099,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3098,22.05,5.56,2017,1,5,5,3.154,9.118,3.002
84,T_3101,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3100,23.86,6.8,2017,1,5,5,3.256,0.0,3.166
85,T_3102,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3101,24.53,6.8,2017,1,5,5,7.958,3.256,6.738
86,T_3103,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3102,25.12,6.8,2017,1,5,5,7.33,7.958,6.978
87,T_3104,7.9677,0.56,1.12,1.12,2.688,2.688,1.792,3100,23.09,7.52,2017,1,5,5,12.739,0.0,11.751
88,T_3105,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3104,23.08,8.08,2017,1,5,5,8.968,12.739,6.654
89,T_3106,7.9677,0.56,1.12,1.12,2.688,2.688,1.792,3105,23.09,8.67,2017,1,5,5,11.634,8.968,11.434
90,T_3108,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3107,18.97,5.54,2017,1,5,5,3.967,0.0,3.582
91,T_3109,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3108,18.07,5.54,2017,1,5,5,14.893,3.967,14.448
92,T_3110,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3109,16.97,5.54,2017,1,5,5,10.777,14.893,10.95
93,T_3111,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3110,15.97,5.54,2017,1,5,5,9.405,10.777,9.381
94,T_3112,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3111,15.07,5.54,2017,1,5,5,7.066,9.405,6.773
95,T_3114,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3113,18.63,4.15,2017,1,5,5,5.8263,0.0,6.1406
96,T_3115,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3114,18.63,3.53,2017,1,5,5,5.781,5.8263,5.634
97,T_3116,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3113,17.55,4.75,2017,1,5,5,10.124,0.0,8.685
98,T_3117,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3116,16.55,4.76,2017,1,5,5,4.097,10.124,3.489
99,T_3120,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3119,22.77,4.69,2017,1,5,5,3.882,0.0,3.554
100,T_3121,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3120,22.78,5.34,2017,1,5,5,3.199,3.882,4.25
101,T_3122,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3121,22.78,5.96,2017,1,5,5,6.146,3.199,5.722
102,T_3123,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3119,23.64,4.04,2017,1,5,5,4.128,0.0,4.0
103,T_3124,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3123,24.42,4.04,2017,1,5,5,7.316,4.128,4.192
104,T_3125,7.9677,0.83,1.66,1.66,1.536,1.536,1.024,3124,25.17,4.04,2017,1,5,5,0.816,7.316,1.611
105,T_3126,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3125,25.97,4.04,2017,1,5,5,3.596,0.816,3.906
106,T_3127,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3126,25.97,4.58,2017,1,5,5,5.539,3.596,4.998
107,T_3128,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3127,25.97,5.12,2017,1,5,5,3.088,5.539,3.141
108,T_3129,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3128,25.97,5.66,2017,1,5,5,1.925,3.088,2.192
109,T_3130,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3129,25.97,6.2,2017,1,5,5,4.164,1.925,4.022
110,T_3131,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3130,25.97,6.75,2017,1,5,5,3.829,4.164,3.995
111,T_3132,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3118,21.35,3.22,2017,1,5,5,13.163,0.0,13.068
112,T_3134,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3133,22.53,2.41,2017,1,5,5,6.483,0.0,6.153
113,T_3135,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3134,23.57,2.41,2017,1,5,5,4.384,6.483,3.755
114,T_3136,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3135,24.53,2.41,2017,1,5,5,5.494,4.384,5.865
115,T_3137,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3133,21.37,1.79,2017,1,5,5,23.6508,0.0,25.3182
116,T_3138,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3137,21.37,1.16,2017,1,5,5,22.745,23.6508,16.702
117,T_3139,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3138,21.36,0.53,2017,1,5,5,0.0,22.745,0.0
118,T_3141,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3140,18.42,2.48,2017,1,5,5,3.692,0.0,3.298
119,T_3142,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3141,19.23,2.48,2017,1,5,5,5.659,3.692,5.651
120,T_3143,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3142,20.03,2.49,2017,1,5,5,8.6465,5.659,8.503
121,T_3144,7.9677,0.83,1.66,1.66,1.536,1.536,1.024,3156,18.31,1.11,2017,1,5,5,0.601,0.0,0.741
122,T_3145,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3144,18.99,1.11,2017,1,5,5,3.3385,0.601,3.064
123,T_3146,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3145,19.67,1.11,2017,1,5,5,2.046,3.3385,1.541
124,T_3147,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3146,20.35,1.11,2017,1,5,5,6.146,2.046,6.91
125,T_3148,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3140,16.87,2.48,2017,1,5,5,6.248,0.0,5.581
126,T_3149,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3148,16.13,2.48,2017,1,5,5,2.598,6.248,2.861
127,T_3150,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3149,15.4,2.48,2017,1,5,5,1.669,2.598,1.617
128,T_3151,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3150,14.66,2.48,2017,1,5,5,1.999,1.669,1.538
129,T_3152,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3151,13.92,2.48,2017,1,5,5,2.21,1.999,2.059
130,T_3153,7.9677,0.595,1.19,1.19,2.076,2.076,1.384,3152,13.18,2.48,2017,1,5,5,8.563,2.21,7.07
131,T_3154,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3153,12.44,2.49,2017,1,5,5,4.09,8.563,4.672
132,T_3155,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3154,11.7,2.49,2017,1,5,5,1.741,4.09,1.6635
133,T_3157,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3156,16.9,1.11,2017,1,5,5,10.937,0.0,12.06775
134,T_3158,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3157,16.17,1.11,2017,1,5,5,5.011,10.937,5.604
135,T_3159,7.9677,0.55,1.1,1.1,2.16,2.16,1.44,3158,15.43,1.11,2017,1,5,5,11.4095,5.011,10.882
136,T_3160,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3159,14.7,1.11,2017,1,5,5,4.29278125,11.4095,4.2180625
137,T_3161,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3160,13.97,1.11,2017,1,5,5,3.412,4.29278125,3.81
138,T_3162,7.9677,0.665,1.33,1.33,2.256,2.256,1.504,3161,13.23,1.11,2017,1,5,5,5.059,3.412,5.281
